65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,32767,32767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,21845,21845,0,21845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16383,16383,0,16383,0,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,32767,0,0,0,32767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32767,0,0,0,0,0,0,0,32767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13107,13107,0,13107,0,13107,0,0,13107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,21845,0,0,0,21845,0,0,21845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10922,10922,0,10922,0,10922,0,0,10922,0,10922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,32767,0,0,0,0,0,0,32767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9362,9362,0,9362,0,9362,0,0,9362,0,9362,0,9362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,16383,0,0,0,16383,0,0,16383,0,0,0,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8191,8191,0,8191,0,8191,0,0,8191,0,8191,0,8191,0,8191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21845,0,0,0,0,0,0,0,21845,0,0,0,0,0,0,0,21845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7281,7281,0,7281,0,7281,0,0,7281,0,7281,0,7281,0,7281,0,7281,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6553,6553,0,6553,0,6553,0,0,6553,0,6553,0,6553,0,6553,0,6553,6553,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,13107,0,0,0,13107,0,0,13107,0,0,0,13107,0,0,0,0,13107,0,0,0,0,0,0,0,0,0,0,0,0
0,5957,5957,0,5957,0,5957,0,0,5957,0,5957,0,5957,0,5957,0,5957,5957,0,5957,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,21845,0,0,0,0,0,0,21845,0,0,0,0,0,0,0,0,21845,0,0,0,0,0,0,0,0,0,0
0,5461,5461,0,5461,0,5461,0,0,5461,0,5461,0,5461,0,5461,0,5461,5461,0,5461,0,5461,0,0,0,0,0,0,0,0,0
0,0,0,10922,0,0,0,10922,0,0,10922,0,0,0,10922,0,0,0,0,10922,0,0,0,10922,0,0,0,0,0,0,0,0
16383,0,0,0,0,0,0,0,16383,0,0,0,0,0,0,0,16383,0,0,0,0,0,0,0,16383,0,0,0,0,0,0,0
0,5041,5041,0,5041,0,5041,0,0,5041,0,5041,0,5041,0,5041,0,5041,5041,0,5041,0,5041,0,0,5041,0,0,0,0,0,0
0,0,0,9362,0,0,0,9362,0,0,9362,0,0,0,9362,0,0,0,0,9362,0,0,0,9362,0,0,9362,0,0,0,0,0
0,4681,4681,0,4681,0,4681,0,0,4681,0,4681,0,4681,0,4681,0,4681,4681,0,4681,0,4681,0,0,4681,0,4681,0,0,0,0
0,0,0,0,0,16383,0,0,0,0,0,0,16383,0,0,0,0,0,0,0,0,16383,0,0,0,0,0,0,16383,0,0,0
0,4369,4369,0,4369,0,4369,0,0,4369,0,4369,0,4369,0,4369,0,4369,4369,0,4369,0,4369,0,0,4369,0,4369,0,4369,0,0
0,0,0,8191,0,0,0,8191,0,0,8191,0,0,0,8191,0,0,0,0,8191,0,0,0,8191,0,0,8191,0,0,0,8191,0
0,4095,4095,0,4095,0,4095,0,0,4095,0,4095,0,4095,0,4095,0,4095,4095,0,4095,0,4095,0,0,4095,0,4095,0,4095,0,4095
